market,period,metric,value,edition,source_file
Southern California,H2 2025,rental_rate_kw_month,$175-$250,H2 2025,data/raw/market_reports/2026-09-21/cbre_h2_2025_overview_infogram/fig2_Fig_2_84bd77f5-8a8d-4921-b001-056ece8e451d_table1.csv
Southern California,H2 2025,vacancy_pct,12.7,H2 2025,data/raw/market_reports/2026-09-21/cbre_h2_2025_overview_infogram/fig2_Fig_2_84bd77f5-8a8d-4921-b001-056ece8e451d_table1.csv
Southern California,H2 2025,vacancy_yoy_change_bps,-292.0,H2 2025,data/raw/market_reports/2026-09-21/cbre_h2_2025_overview_infogram/fig2_Fig_2_84bd77f5-8a8d-4921-b001-056ece8e451d_table1.csv
Southern California,H1 2026,available_mw,25.2,H1 2026,data/raw/market_reports/2026-09-21/cbre_h1_2026_overview_infogram/fig2_Fig_2_ad25668b-d191-4467-abc2-922af4d77e17_table1.csv
Southern California,H1 2026,inventory_mw,200.2,H1 2026,data/raw/market_reports/2026-09-21/cbre_h1_2026_overview_infogram/fig2_Fig_2_ad25668b-d191-4467-abc2-922af4d77e17_table1.csv
Southern California,H1 2026,inventory_yoy_change_mw,-0.1,H1 2026,data/raw/market_reports/2026-09-21/cbre_h1_2026_overview_infogram/fig2_Fig_2_ad25668b-d191-4467-abc2-922af4d77e17_table1.csv
Southern California,H1 2026,net_absorption_mw,0.2,H1 2026,data/raw/market_reports/2026-09-21/cbre_h1_2026_overview_infogram/fig2_Fig_2_ad25668b-d191-4467-abc2-922af4d77e17_table1.csv
Southern California,H1 2026,net_absorption_yoy_change_mw,-27.0,H1 2026,data/raw/market_reports/2026-09-21/cbre_h1_2026_overview_infogram/fig2_Fig_2_ad25668b-d191-4467-abc2-922af4d77e17_table1.csv
Southern California,H1 2026,rental_rate_kw_month,$175-$250,H1 2026,data/raw/market_reports/2026-09-21/cbre_h1_2026_overview_infogram/fig2_Fig_2_ad25668b-d191-4467-abc2-922af4d77e17_table1.csv
Southern California,H1 2026,vacancy_pct,12.6,H1 2026,data/raw/market_reports/2026-09-21/cbre_h1_2026_overview_infogram/fig2_Fig_2_ad25668b-d191-4467-abc2-922af4d77e17_table1.csv
Southern California,H1 2026,vacancy_yoy_change_bps,37.0,H1 2026,data/raw/market_reports/2026-09-21/cbre_h1_2026_overview_infogram/fig2_Fig_2_ad25668b-d191-4467-abc2-922af4d77e17_table1.csv
